"Palabra","Count","Pre_token0","Pre_count0","Post_token0","Post_count0","Pre_token1","Pre_count1","Post_token1","Post_count1"
"años","146430","los","31729","de","19554","dos","6803","en","10337"
"dos","142449","los","103002","en","76320","de","54959","de","65525"
"ser","126338","de","34666","de","51893","la","34206","el","16847"
"parte","122769","la","18495","de","60261","por","11842","del","25423"
"ciudad","122528","la","91747","de","51922","las","6478","y","6202"
"año","112907","el","51215","de","39038","los","36360","en","23166"
"gran","99346","de","23429","de","10226","una","16986","parte","7432"
"san","98003","de","88545","de","15757","y","12176","y","9560"
"después","93490","años","7311","de","52590","poco","6669","del","6399"
"nombre","89205","el","41586","de","30974","su","17705","del","5492"
"puede","86413","se","29098","ser","21626","que","11960","referirse","6644"
"primera","84960","la","47561","vez","12270","por","10832","división","5449"
"primer","77168","la","48613","vez","12294","el","46557","en","5977"
"así","75659","y","4666","como","29135","la","2202","que","4813"
"forma","73150","la","30302","de","39522","de","28098","parte","16182"
"siglo","72078","del","38720","xix","11618","el","23585","xx","10758"
"mismo","71029","el","20949","año","12230","del","15974","tiempo","5910"
"si","68379","la","288612","de","314471","de","149364","en","151657"
"aunque","68017","y","1854","no","5827","que","1346","la","4223"
"españa","67784","de","20849","en","7003","en","14543","y","5680"
"nacional","67748","parque","3735","de","36448","aeropuerto","3686","en","6470"
"tres","67094","de","9923","años","4090","los","8861","de","2720"
"guerra","66589","la","36336","de","12241","de","8846","mundial","11807"
"historia","66208","la","32303","de","23784","de","5241","del","7706"
"grupo","66118","el","15827","de","24050","del","15704","en","1935"
"mayor","65637","la","35683","de","27789","de","6633","parte","10045"
"vez","64120","una","13768","en","8789","primera","12282","que","6927"
"población","62143","la","23511","y","14162","una","21487","de","13840"
"tras","61784","y","14944","que","22356","de","10455","la","20030"
"tiempo","61047","el","11452","de","8472","mismo","5921","en","4532"
"general","59969","en","7678","de","16348","el","6519","del","4071"
"además","59723","y","2953","de","21245","que","2110","el","2657"
"bajo","59711","de","10685","el","16340","el","7662","la","13140"
"lugar","59503","el","8528","de","15736","en","6378","en","8094"
"cada","58628","la","14619","en","16377","de","10462","de","15486"
"sido","57701","ha","26689","el","2358","han","9729","la","1468"
"vida","56284","la","34624","de","14220","su","14653","en","6524"
"nueva","55629","de","11577","york","14244","una","11081","zelanda","2582"
"familia","55097","la","33122","de","13511","su","6381","y","3494"
"junto","52166","el","5524","a","25853","un","4917","con","21863"
"hacia","51651","y","1067","el","17808","camino","665","la","7213"
"universidad","51036","la","39039","de","27673","las","1573","nacional","2589"
"mundo","50872","del","21428","de","6601","el","19725","en","3280"
"sur","49864","al","16001","de","21406","del","13626","y","6833"
"partido","49797","el","13439","de","9651","del","12916","en","3402"
"norte","49723","al","12845","de","16069","del","12501","y","6119"
"región","49361","la","39995","de","24138","una","2068","del","2371"
"provincia","49310","la","35835","de","39522","las","4907","del","1956"
"río","49102","el","22623","de","11888","del","21310","y","3260"
"nuevo","48765","de","12651","en","2007","un","11848","a","1314"
"serie","48692","la","24519","de","23981","una","14386","en","1245"
"encuentra","48231","se","64253","en","19187","que","356","a","4843"
"gobierno","48159","el","20256","de","13786","del","10839","del","2999"
"inglés","48101","en","33265","y","2078","del","1339","el","1930"
"juan","47901","san","9194","de","7466","de","5973","carlos","2940"
"embargo","47297","sin","46890","el","4501","el","95","la","4184"
"oficial","47167","web","9040","de","20881","página","8982","del","7504"
"sólo","47118","no","5030","se","4005","que","3743","en","2643"
"siendo","45429","sigue","1972","el","5225","y","869","la","3592"
"mientras","45221","y","571","que","20839","que","569","tanto","2645"
"unidos","44899","estados","42771","y","4400","árabes","258","en","3768"
"luego","44462","y","9433","de","13784","que","2550","se","3228"
"sistema","44279","el","13619","de","20851","un","9533","operativo","1592"
"día","43642","el","13519","de","16100","en","6348","en","6844"
"centro","43195","el","17889","de","20928","del","6191","del","2974"
"país","42590","del","16243","de","4806","el","10738","en","4556"
"obra","42424","la","15379","de","18240","su","8657","en","3745"
"según","42250","que","2171","el","9175","y","1018","la","7752"
"segunda","41993","la","27688","guerra","8228","una","2300","división","3328"
"josé","41837","san","4241","maría","4161","de","3964","de","3248"
"pueden","41751","se","9376","ser","7919","que","4378","encontrar","1342"
"entonces","41449","desde","5915","el","2423","hasta","2248","se","2356"
"equipo","41047","el","13135","de","11788","del","6377","en","2521"
"rey","40876","el","14417","de","12265","del","11850","y","3325"
"debido","40803","y","864","a","34420","pero","807","al","5130"
"iglesia","39963","la","27218","de","13159","las","1803","católica","3395"
"varios","39836","de","5636","años","2288","en","4404","de","1575"
"español","39120","en","8771","de","8472","los","3897","en","5227"
"zona","39025","la","26317","de","11205","las","4888","del","2384"
"número","38861","el","11697","de","19395","un","4983","uno","1449"
"banda","38550","la","27238","de","7920","una","3949","sonora","2729"
"final","38279","a","12387","de","25363","al","11381","del","13328"
"santa","38060","de","18226","maría","5892","la","2542","cruz","4649"
