"Letra","Count","PreToken0","PreCount0","PostToken0","PostCount0","PreToken1","PreCount1","PostToken1","PostCount1"
"como","18416","asi","961","una","693","conocido","396","los","601"
"para","17272","que","283","que","844","como","176","los","783"
"entre","6901","que","142","los","1406","relacion","94","las","654"
"también","6089","que","235","puede","147","pero","172","por","105"
"este","5679","del","307","tipo","325","que","234","caso","190"
"años","5226","los","1124","anos","457","anos","457","despues","214"
"esta","4980","los","1069","unidos","1376","que","959","por","513"
"sobre","4840","informacion","108","todo","521","altitud","69","los","358"
"pero","4752","anos","32","que","191","los","28","tambien","174"
"desde","4050","que","115","los","200","van","39","entonces","187"
"hasta","3954","desde","122","que","467","que","71","los","194"
"parte","3915","por","552","del","778","mayor","402","los","344"
"ciudad","3862","las","330","mexico","147","una","184","que","135"
"puede","3660","que","813","ser","1037","tambien","219","tener","104"
"durante","3631","que","87","los","275","fue","23","las","143"
"cuando","3508","que","98","los","164","hasta","54","las","84"
