"Letra","Count","Pre_token0","Pre_count0","Post_token0","Post_count0","Pre_token1","Pre_count1","Post_token1","Post_count1"
"e","63601401","d","11805426","n","8151470","r","4097253","s","6882568"
"a","59858927","l","6981136","r","4915926","r","4209878","n","4553241"
"o","43562368","c","5146702","s","5415462","d","3285794","n","5038680"
"n","35879964","e","8960353","t","4444403","a","4990315","a","3315730"
"i","35238633","c","3214439","n","3527658","r","2942794","c","2666928"
"s","34131288","e","7681551","t","3865651","o","5427774","e","3233559"
"r","32661246","e","5773232","a","5135529","a","5008619","e","4863442"
"l","28653907","e","6207315","a","7101572","a","4812810","o","3207860"
"d","25562555","a","3014670","e","12133594","n","2049755","o","3749668"
"t","22721267","n","4502662","e","4333554","s","3923054","a","4238519"
"c","22331855","i","2690698","o","5194212","a","2198150","i","3929838"
"u","18911087","q","2526339","e","4227094","s","1765233","n","3453714"
"m","13601521","o","2025723","a","2800626","a","1771696","e","2293152"
"p","12459583","m","1103597","o","2704716","s","877829","a","2565760"
"b","6805691","a","1323341","a","1442731","m","909132","r","1209145"
"g","6592959","e","967865","u","1067494","i","966235","a","1029307"
"v","4824664","i","814862","i","1427757","e","611294","e","1232677"
"f","4556869","i","347845","i","900357","o","342432","u","848518"
"y","4493663","a","454822","o","310370","u","240498","a","260070"
"h","4308313","c","1006885","a","1357733","t","396966","e","698369"
"q","2687879","e","154463","u","2660988","r","124789","a","3399"
"j","2179065","a","422185","o","569315","e","379309","u","484106"
"z","1985227","i","529570","a","859394","e","368642","o","256590"
"x","1028040","e","559363","i","312128","é","64877","t","163242"
"k","1009925","c","138288","e","140198","a","88324","i","135119"
"w","634287","o","82994","a","144998","e","56926","i","111134"
