Palabra Principal,Frase,Count
años,los años,31729
años,de los años,10600
años,finales de los años,1460
dos,los dos,103002
dos,de los dos,3308
ser,ser de,51893
ser,puede ser de,413
parte,parte de,60261
parte,parte de la,19794
parte,forma parte de la,2406
ciudad,la ciudad,91747
ciudad,la ciudad de,39165
ciudad,de la ciudad de,14739
ciudad,de la ciudad de méxico,1396
año,el año,51215
año,en el año,28440
año,en el año de,1927
gran,de gran,23429
gran,de gran canaria,1011
san,de san,88545
san,de san juan,4609
después,después de,52590
después,después de la,12590
nombre,el nombre,41586
nombre,el nombre de,21954
nombre,con el nombre de,5418
puede,se puede,29098
puede,que se puede,2175
primera,la primera,47561
primera,de la primera,8451
primer,la primer,48613
primer,en la primer,134
así,así como,29135
así,así como la,3181
forma,forma de,39522
forma,en forma de,6600
siglo,del siglo,38720
siglo,del siglo xx,7903
mismo,el mismo,20949
mismo,en el mismo,4983
si,si de,314471
si,como si de,128
aunque,aunque no,5827
aunque,aunque no se,828
españa,de españa,20849
españa,de españa en,3062
nacional,nacional de,36448
nacional,nacional de la,1787
tres,de tres,9923
tres,de tres años,745
guerra,la guerra,36336
guerra,de la guerra,10933
guerra,de la guerra de,2297
historia,la historia,32303
historia,la historia de,11562
historia,la historia de la,3896
historia,en la historia de la,1222
historia,en la historia de la música,97
grupo,grupo de,24050
grupo,un grupo de,8476
grupo,de un grupo de,1060
mayor,la mayor,35683
mayor,la mayor parte,9014
mayor,la mayor parte de,6911
mayor,la mayor parte de los,1581
vez,una vez,13768
vez,una vez que,2310
población,la población,23511
población,de la población,10542
población,de la población de,1140
tras,tras que,22356
tras,tras que el,12
tiempo,el tiempo,11452
tiempo,con el tiempo,2787
general,general de,16348
general,general de la,3440
además,además de,21245
además,además de la,2266
bajo,bajo el,16340
bajo,bajo el nombre,2893
lugar,lugar de,15736
lugar,en lugar de,4477
lugar,en lugar de la,325
cada,cada en,16377
cada,fue cada en,43
sido,ha sido,26689
sido,que ha sido,2119
vida,la vida,34624
vida,de la vida,6716
nueva,nueva york,14244
nueva,de nueva york,5087
nueva,ciudad de nueva york,1310
nueva,la ciudad de nueva york,1237
nueva,en la ciudad de nueva york,537
nueva,en la ciudad de nueva york en,66
familia,la familia,33122
familia,de la familia,13435
familia,de la familia de,3694
familia,de la familia de los,1775
familia,peces de la familia de los,817
familia,de peces de la familia de los,817
familia,especie de peces de la familia de los,722
familia,una especie de peces de la familia de los,722
familia,es una especie de peces de la familia de los,721
familia,es una especie de peces de la familia de los aplocheílidos,212
familia,es una especie de peces de la familia de los aplocheílidos en,212
familia,es una especie de peces de la familia de los aplocheílidos en el,212
familia,es una especie de peces de la familia de los aplocheílidos en el orden,212
familia,es una especie de peces de la familia de los aplocheílidos en el orden de,212
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los,212
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes,212
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes los,210
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes los machos,210
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes los machos pueden,210
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes los machos pueden alcanzar,210
familia,es una especie de peces de la familia de los aplocheílidos en el orden de los ciprinodontiformes los machos pueden alcanzar los,208
junto,junto a,25853
junto,junto a la,3668
hacia,hacia el,17808
hacia,hacia el sur,1894
universidad,la universidad,39039
universidad,la universidad de,22192
universidad,de la universidad de,8742
universidad,de la universidad de chile,666
mundo,del mundo,21428
mundo,del mundo de,2188
sur,sur de,21406
sur,al sur de,4163
partido,el partido,13439
partido,en el partido,3277
norte,norte de,16069
norte,al norte de,4296
norte,al norte de la,1646
norte,al norte de la ciudad,435
norte,al norte de la ciudad de,245
norte,km al norte de la ciudad de,74
norte,km al norte de la ciudad de san,4
región,la región,39995
región,en la región,22392
región,en la región de,17689
región,francesa en la región de,6679
región,comuna francesa en la región de,6674
región,y comuna francesa en la región de,6669
región,población y comuna francesa en la región de,6656
región,una población y comuna francesa en la región de,6655
región,es una población y comuna francesa en la región de,6648
región,es una población y comuna francesa en la región de ródanoalpes,868
provincia,provincia de,39522
provincia,la provincia de,26017
provincia,de la provincia de,11293
provincia,de la provincia de buenos,993
río,el río,22623
río,en el río,2264
nuevo,de nuevo,12651
nuevo,de nuevo en,1537
serie,la serie,24519
serie,de la serie,11002
serie,de la serie de,2073
encuentra,se encuentra,64253
encuentra,se encuentra en,13103
gobierno,el gobierno,20256
gobierno,el gobierno de,6601
gobierno,el gobierno de la,953
inglés,en inglés,33265
inglés,en inglés el,1470
juan,san juan,9194
juan,de san juan,4609
juan,de san juan de,1182
juan,de san juan de la,238
embargo,sin embargo,46890
embargo,sin embargo el,4479
oficial,oficial de,20881
oficial,oficial de la,6011
oficial,página oficial de la,1736
oficial,página oficial de la nasa,338
sólo,no sólo,5030
sólo,no sólo en,458
siendo,siendo el,5225
siendo,siendo el primer,502
mientras,mientras que,20839
mientras,mientras que el,3727
unidos,estados unidos,42771
unidos,los estados unidos,17662
unidos,de los estados unidos,9094
unidos,de los estados unidos en,758
luego,luego de,13784
luego,luego de la,2321
sistema,sistema de,20851
sistema,un sistema de,4503
día,día de,16100
día,el día de,3105
centro,centro de,20928
centro,el centro de,7746
centro,en el centro de,3825
centro,en el centro de la,1840
centro,en el centro de la ciudad,627
centro,en el centro de la ciudad de,149
país,del país,16243
país,del país y,1462
obra,obra de,18240
obra,la obra de,4191
según,según el,9175
según,según el censo,1672
segunda,la segunda,27688
segunda,la segunda guerra,7752
segunda,la segunda guerra mundial,6990
segunda,durante la segunda guerra mundial,2407
segunda,durante la segunda guerra mundial la,172
josé,san josé,4241
josé,de san josé,1718
josé,de san josé de,331
pueden,se pueden,9376
pueden,que se pueden,1309
entonces,desde entonces,5915
entonces,y desde entonces,839
equipo,el equipo,13135
equipo,el equipo de,2703
rey,el rey,14417
rey,el rey de,1993
debido,debido a,34420
debido,debido a la,9589
debido,debido a la falta,416
iglesia,la iglesia,27218
iglesia,de la iglesia,10350
iglesia,de la iglesia de,2036
varios,de varios,5636
varios,después de varios,371
español,en español,8771
español,en español el,406
zona,la zona,26317
zona,en la zona,9658
zona,en la zona de,1983
número,número de,19395
número,el número de,6313
número,en el número de,386
banda,la banda,27238
banda,de la banda,12451
banda,de la banda de,1803
final,final de,25363
final,final de la,6697
final,al final de la,2407
final,al final de la temporada,294
santa,de santa,18226
santa,de santa maría,3647
casa,la casa,18103
casa,la casa de,7154
casa,de la casa de,2098
casa,de la casa de la,266
mejor,la mejor,6192
mejor,a la mejor,2128
mejor,a la mejor actriz,524
julio,de julio,24959
julio,de julio de,16424
julio,de julio de ese,179
departamento,departamento de,29618
departamento,el departamento de,6717
madrid,de madrid,12085
madrid,comunidad de madrid,1372
hace,se hace,7979
hace,que se hace,883
cuenta,cuenta con,19151
cuenta,cuenta con una,3485
cuatro,de cuatro,5293
cuatro,de cuatro años,553
dentro,dentro de,22808
dentro,dentro de la,9001
dentro,dentro de la familia,826
principal,principal de,8542
principal,principal de la,2047
grandes,los grandes,4223
grandes,de los grandes,1942
grandes,uno de los grandes,685
grandes,como uno de los grandes,93
presidente,presidente de,14406
presidente,presidente de la,7613
presidente,presidente de la república,2103
presidente,el presidente de la república,574
presidente,por el presidente de la república,209
presidente,designado por el presidente de la república,28
méxico,de méxico,16154
méxico,ciudad de méxico,4376
méxico,la ciudad de méxico,3243
méxico,de la ciudad de méxico,1396
méxico,de la ciudad de méxico y,151
real,se real,13925
real,,0
música,la música,13845
música,de la música,5040
música,de la música de,501
bien,si bien,8491
bien,si bien la,827
poder,el poder,9530
poder,el poder de,2068
tipo,tipo de,28246
tipo,este tipo de,5139
obras,obras de,8797
obras,las obras de,2873
obras,de las obras de,787
obras,una de las obras de,63
película,la película,20117
película,de la película,6014
película,de la película de,553
ii,siglo ii,20996
ii,del siglo ii,401
argentina,en argentina,3856
argentina,en argentina y,398
muerte,la muerte,18842
muerte,la muerte de,10360
muerte,de la muerte de,2734
muerte,después de la muerte de,1221
muerte,después de la muerte de su,282
club,el club,9421
club,en el club,1655
mayo,mayo de,49081
mayo,de mayo de,16357
mayo,de mayo de ese,156
álbum,el álbum,8558
álbum,en el álbum,2205
álbum,en el álbum de,412
distrito,distrito de,24424
distrito,el distrito de,18762
distrito,en el distrito de,16213
distrito,loira en el distrito de,736
época,la época,16139
época,de la época,7994
época,de la época de,716
municipio,municipio de,18238
municipio,el municipio de,4855
municipio,en el municipio de,1985
municipio,situado en el municipio de,125
medio,medio de,19396
medio,por medio de,5303
medio,por medio de la,1161
pueblo,el pueblo,9696
pueblo,el pueblo de,2734
pueblo,en el pueblo de,743
pueblo,nació en el pueblo de,60
internacional,internacional de,11109
internacional,aeropuerto internacional de,1669
hijo,hijo de,15147
hijo,el hijo de,1787
trabajo,de trabajo,8048
trabajo,de trabajo y,783
segundo,el segundo,14648
segundo,en el segundo,2773
personas,las personas,6685
personas,de las personas,1983
personas,de las personas que,382
conocido,conocido como,18286
conocido,también conocido como,3249
habitantes,los habitantes,4879
habitantes,los habitantes de,2656
habitantes,los habitantes de la,847
habitantes,de los habitantes de la,232
habitantes,de los habitantes de la ciudad,75
habitantes,de los habitantes de la ciudad de,8
francia,de francia,13257
francia,de francia en,2486
solo,un solo,4037
solo,de un solo,866
actualmente,actualmente se,3480
actualmente,actualmente se encuentra,802
mundial,guerra mundial,11813
mundial,segunda guerra mundial,7331
mundial,la segunda guerra mundial,6990
mundial,durante la segunda guerra mundial,2407
mundial,durante la segunda guerra mundial la,172
maría,santa maría,5877
maría,de santa maría,3647
maría,de santa maría de,1267
maría,de santa maría de la,313
octubre,de octubre,22946
octubre,de octubre de,16233
octubre,de octubre de ese,168
todas,todas las,20524
todas,de todas las,3757
padre,su padre,16300
padre,de su padre,4842
padre,muerte de su padre,852
tierra,la tierra,15681
tierra,de la tierra,6418
tierra,de la tierra y,599
agua,de agua,18996
agua,de agua dulce,1133
especies,especies de,8735
especies,especies de as,3224
especies,especies de as de,2512
especies,especies de as de flores,2481
especies,especies de as de flores perteneciente,2307
especies,especies de as de flores perteneciente a,2304
especies,especies de as de flores perteneciente a la,2304
especies,especies de as de flores perteneciente a la familia,2304
especies,una especies de as de flores perteneciente a la familia,431
ejemplo,por ejemplo,20811
ejemplo,como por ejemplo,3131
largo,lo largo,16069
largo,a lo largo,15895
largo,a lo largo de,11764
largo,a lo largo de la,3505
largo,a lo largo de la historia,803
importante,más importante,16499
importante,más importante de,2213
hizo,se hizo,7914
hizo,que se hizo,848
septiembre,de septiembre,22680
septiembre,de septiembre de,15003
